Region,Region_pcode,Province,Province_pcode,City,Mun_Pcode,July2020,July2021,July2022,July2023,July2024,July2025
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,solana,PH021527000,88420,89479,90489,91452,92369,93235
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,tuao,PH021528000,65485,66175,66827,67441,68020,68558
Region II (Cagayan Valley),PH020000000,Cagayan,PH021500000,tuguegarao city (capital),PH021529000,168075,170826,173506,176116,178662,181130
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,alicia,PH023101000,77727,78892,80022,81119,82184,83213
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,angadanan,PH023102000,45511,45931,46325,46693,47035,47350
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,aurora,PH023103000,36589,36842,37072,37279,37465,37627
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,benito soliven,PH023104000,31609,31962,32299,32618,32921,33207
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,burgos,PH023105000,24773,24928,25067,25192,25300,25393
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,cabagan,PH023106000,54159,54893,55600,56282,56939,57569
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,cabatuan,PH023107000,41073,41335,41570,41781,41966,42125
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,city of cauayan,PH023108000,135226,136139,136967,137711,138374,138950
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,cordon,PH023109000,44474,44705,44907,45081,45227,45344
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,dinapigue,PH023110000,5134,5150,5163,5173,5179,5181
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,divilacan,PH023111000,6309,6430,6549,6667,6782,6896
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,echague,PH023112000,82602,83165,83676,84136,84546,84904
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,gamu,PH023113000,30800,30923,31026,31108,31171,31214
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,ilagan city (capital),PH023114000,154414,155956,157410,158777,160060,161253
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,jones,PH023115000,46954,47125,47266,47375,47455,47503
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,luna,PH023116000,20347,20519,20678,20826,20962,21086
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,maconacon,PH023117000,4901,5034,5167,5300,5434,5568
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,delfin albano (magsaysay),PH023118000,27494,27621,27730,27821,27894,27950
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,mallig,PH023119000,32245,32554,32844,33116,33370,33604
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,naguilian,PH023120000,33984,34352,34702,35033,35347,35641
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,palanan,PH023121000,18238,18406,18563,18709,18846,18971
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,quezon,PH023122000,26899,27060,27204,27331,27442,27535
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,quirino,PH023123000,26499,26869,27226,27571,27904,28224
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,ramon,PH023124000,54997,55362,55692,55988,56251,56479
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,reina mercedes,PH023125000,30431,31114,31792,32466,33137,33801
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,roxas,PH023126000,65169,65747,66286,66787,67252,67677
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,san agustin,PH023127000,23696,23817,23923,24014,24089,24150
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,san guillermo,PH023128000,21792,22084,22366,22638,22900,23150
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,san isidro,PH023129000,26727,27067,27394,27707,28007,28294
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,san manuel,PH023130000,33012,33177,33320,33442,33543,33623
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,san mariano,PH023131000,58712,59293,59841,60356,60839,61288
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,san mateo,PH023132000,67484,67967,68409,68809,69169,69487
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,san pablo,PH023133000,28675,29332,29985,30634,31281,31923
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,santa maria,PH023134000,27617,28036,28443,28839,29223,29595
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,city of santiago,PH023135000,138649,139158,139576,139904,140141,140287
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,santo tomas,PH023136000,24060,24231,24387,24528,24655,24766
Region II (Cagayan Valley),PH020000000,Isabela,PH023100000,tumauini,PH023137000,76757,78586,80408,82222,84034,85833
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,ambaguio,PH025001000,17017,17358,17693,18022,18346,18663
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,aritao,PH025002000,38453,38617,38753,38860,38938,38988
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,bagabag,PH025003000,36534,36662,36762,36836,36881,36900
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,bambang,PH025004000,59012,60068,61100,62105,63087,64041
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,bayombong (capital),PH025005000,65102,65700,66254,66765,67232,67655
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,diadi,PH025006000,19649,19927,20193,20449,20694,20928
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,dupax del norte,PH025007000,29104,29368,29612,29837,30043,30228
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,dupax del sur,PH025008000,19905,20023,20127,20216,20291,20352
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,kasibu,PH025009000,41934,42745,43540,44320,45085,45832
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,kayapa,PH025010000,25844,26236,26615,26980,27332,27670
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,quezon,PH025011000,22574,22841,23094,23333,23558,23769
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,santa fe,PH025012000,17874,18195,18508,18814,19112,19402
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,solano,PH025013000,62380,62830,63236,63598,63916,64189
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,villaverde,PH025014000,19126,19209,19278,19333,19374,19400
Region II (Cagayan Valley),PH020000000,Nueva Vizcaya,PH025000000,alfonso castaneda,PH025015000,8386,8459,8527,8589,8645,8696
Region II (Cagayan Valley),PH020000000,Quirino,PH025700000,aglipay,PH025701000,28888,29071,29240,29396,29536,29663
Region II (Cagayan Valley),PH020000000,Quirino,PH025700000,cabarroguis (capital),PH025702000,31212,31293,31358,31406,31437,31453
Region II (Cagayan Valley),PH020000000,Quirino,PH025700000,diffun,PH025703000,55750,56329,56885,57419,57927,58414
Region II (Cagayan Valley),PH020000000,Quirino,PH025700000,maddela,PH025704000,40706,41104,41485,41848,42193,42521
Region II (Cagayan Valley),PH020000000,Quirino,PH025700000,saguday,PH025705000,17294,17526,17752,17971,18185,18393
Region II (Cagayan Valley),PH020000000,Quirino,PH025700000,nagtipunan,PH025706000,24067,24150,24220,24278,24322,24355
Region III (Central Luzon),PH030000000,Bataan,PH030800000,abucay,PH030801000,41960,42252,42491,42676,42818,42888
Region III (Central Luzon),PH030000000,Bataan,PH030800000,bagac,PH030802000,28246,28428,28576,28689,28758,28811
Region III (Central Luzon),PH030000000,Bataan,PH030800000,city of balanga (capital),PH030803000,104228,105426,106447,107289,107897,108442
